"","Score","Age","PTS","AST","TRB","MP","FT","FG","Rk","X3P","X2P","Role","Salary","G","TOV","mean_views"
"2",48.2,32,5,1.9,1.1,13.8,0.5,1.9,58,0.7,1.1,"Back",2700000,65,1,11.155737704918
"3",40,21,12.7,1.9,5.1,28.7,2,4.9,157,1,4,"Front",4351320,80,1.1,1713.98633879781
"4",75.5,25,3.5,0.4,1.8,7.5,0.8,1.3,352,0.2,1.1,"Front",2022240,18,0.4,205.855191256831
"5",42.8,26,8.7,1.6,7.4,29.1,1.6,3,10,1.1,1.9,"Front",7680965,61,1.5,604.341530054645
"6",12.5,30,14,5,6.8,32.3,1.6,5.6,203,1.3,4.3,"Front",26540100,68,1.7,1556.3825136612
"7",60,32,8.1,0.9,4.2,14.1,1,3.6,221,0,3.6,"Front",10230179,66,0.5,603.188524590164
"8",59.5,34,2.9,0.4,0.8,10.3,0.4,1,12,0.5,0.5,"Front",1315448,30,0.2,5.40934065934066
"9",85.5,24,7.4,0.5,6.2,15.1,1.5,2.9,464,0,2.9,"Front",874636,47,0.8,21.2131147540984
"10",53,25,6.7,0.7,2.9,15.5,1.4,2.4,65,0.6,1.8,"Back",9904495,42,0.8,122.505464480874
"11",27.5,23,6,0.6,1.3,15.5,0.6,2,1,1.4,0.6,"Back",5994764,68,0.5,8.31147540983607
"12",70,23,8,0.6,6.6,20.3,1.9,3,260,0,2.9,"Front",4823621,77,1.3,316.685792349727
"13",62,28,5.3,0.3,4.5,15,0.7,2.3,5,0,2.3,"Front",4863206,39,0.8,4.91530054644809
"14",49.5,24,10.7,1.2,2.9,28.5,1.3,3.8,92,1.7,2.1,"Back",18500000,79,0.8,382.051912568306
"15",85,29,0.8,0.5,1.2,6.8,0.4,0.2,149,0,0.2,"Front",2255408,13,0.3,129.986338797814
"16",45,29,6.5,1.8,4.6,20.1,0.8,2.7,226,0.3,2.3,"Front",12000000,80,1,371.795081967213
"17",42,34,1.3,0.7,1.9,6.6,0.6,0.4,443,0,0.4,"Front",10851659,14,0.6,31.3360655737705
"18",11.8,23,13.6,1.1,13.8,29.7,1.7,6,115,0,5.9,"Front",22116750,81,1.9,1249.84426229508
"19",11.5,33,7.6,3.4,4,26.3,0.9,2.9,211,0.8,2,"Back",11131368,76,0.8,3224.45628415301
"20",29.2,25,6.6,1,5.1,30.1,0.6,2.7,377,0.6,2.2,"Front",2183072,79,0.6,10.1010928961749
"21",34.8,32,2.9,1.8,8.1,21.6,0.1,1.4,51,0,1.4,"Front",11410378,27,1.6,2397.75136612022
"22",59,22,5.9,2.8,1.9,20.5,2.1,1.6,182,0.6,1,"Back",945000,72,1.2,5.94808743169399
"23",89,27,2.6,0.3,1.6,9,0.2,1.1,327,0.1,1,"Front",6088993,38,0.4,3.61281337047354
"24",18.8,21,23.6,2.3,4,37.2,5,8.6,462,1.3,7.4,"Front",6006600,82,2.3,2150.2131147541
"25",3.5,23,28,2.1,11.8,36.1,6.9,10.3,100,0.5,9.7,"Front",22116750,75,2.4,101.918032786885
"26",37.5,31,5.5,0.5,0.6,14.6,0.7,2,312,0.8,1.2,"Back",3488000,49,0.1,267.330601092896
"27",79.5,31,7.1,1.2,3.6,22.7,0.9,2.4,431,1.4,1,"Front",8000000,65,0.9,155.950819672131
"29",54,30,4.9,0.4,4.4,15.5,1.1,1.9,34,0,1.9,"Front",6500000,75,0.7,474.33606557377
"30",43.5,31,8.4,1.3,2,25.9,1.4,3,4,1,2,"Back",12500000,61,0.7,440.893442622951
"31",36.5,24,12,2.8,2.2,27.8,1.8,4.4,376,1.5,2.9,"Back",11000000,74,1.6,830.166666666667
"32",10,26,16.3,2.2,6.1,33.4,1.2,6.5,55,2,4.6,"Back",8269663,55,1.6,468.612021857923
"33",53,23,8.1,0.8,2.1,19.3,1.1,3,295,1.1,1.9,"Back",4008882,61,1,332.713114754098
"34",57.2,34,5.8,3.4,1.5,14.4,0.8,2.4,437,0.3,2.1,"Back",980431,39,0.9,232.770491803279
"35",37.5,24,6,0.9,7,22.1,1.5,2.2,46,0,2.2,"Front",17000000,81,1.2,2292.12841530055
"36",12,27,21.6,4.9,8.1,34,5.2,7.9,168,0.6,7.2,"Front",20093064,61,2.3,2700.96994535519
"37",30.5,28,5.5,0.3,3.7,8.4,1.3,2.1,282,0,2.1,"Front",5628000,35,0.3,10.415512465374
"39",72,21,6.8,0.5,4.6,15.6,0.6,2.9,362,0.5,2.4,"Front",1404600,64,0.6,304.147540983607
"40",23.8,27,13.7,1.4,3.4,25.7,2.7,4.6,50,1.8,2.9,"Back",3573020,81,1.6,6.04644808743169
"41",49.5,34,4.6,2.3,2.2,17.6,0.4,2,110,0.3,1.7,"Front",7000000,73,1.2,695.046448087432
"42",11,23,23.1,3.5,3.1,34.9,3.7,8.3,36,2.9,5.4,"Back",22116750,77,2,496.729508196721
"43",86,29,6.8,0.5,2.8,16,0.8,3,476,0,3,"Front",5709880,28,0.4,166.098360655738
"44",55.5,31,5.6,0.4,2.5,11.1,1.5,2.1,31,0,2,"Front",1551659,52,0.6,269.193989071038
"45",27,19,9.4,2.1,4,28.8,1.7,3.5,214,0.7,2.8,"Front",5281680,79,1.5,2113.98087431694
"46",27.8,27,7.1,4.9,2.4,22.2,1.4,2.4,224,1,1.4,"Back",5587318,81,1.6,1263.24590163934
"47",48,25,11,2.4,2.2,21.1,2.4,3.9,247,0.8,3,"Back",12606250,54,1.6,10.9207650273224
"48",58,31,4.2,1,2.1,21.9,0.3,1.5,388,0.9,0.6,"Back",3500000,47,0.6,663.371584699454
"50",63,22,1.3,0.3,1,3,0,0.7,227,0,0.7,"Front",1273920,3,0.3,324.342541436464
"51",18,28,20.5,2.3,5.4,29.6,3.9,7.4,271,1.8,5.6,"Front",21165675,75,2.5,880.010928961749
"52",58.5,21,1.6,0.4,1.1,4.4,0,0.7,67,0.2,0.4,"Front",1589640,9,0.2,304.25956284153
"53",48.5,23,2.6,0.6,0.6,7.9,0.1,1,137,0.5,0.5,"Back",543471,36,0.3,174.120218579235
"54",42.5,24,10.6,1.5,3.3,23,0.8,4,192,1.8,2.2,"Back",3517200,82,1.2,2198.18579234973
"58",30,22,5.2,1.8,1.5,14.9,0.2,2.1,353,0.9,1.2,"Back",2112480,31,0.9,583.218579234973
"59",45.8,22,8.2,1.9,3.3,21.7,1.2,3,264,1,2,"Back",1562280,57,1,285.341530054645
"60",7.5,32,22.4,2.9,5.9,34.3,4.1,8.1,17,2,6.1,"Front",24559380,74,2.1,4679.16666666667
"61",50.5,28,6.2,1.6,2.5,19.9,1,2.2,348,0.7,1.5,"Front",22116750,34,0.7,833.904371584699
"62",22.5,33,9.1,0.6,3.9,18.9,0.9,3.2,141,1.9,1.4,"Front",7806971,74,0.7,1233.72404371585
"63",81.5,20,5.1,0.2,4.3,11.7,0.9,2.1,109,0,2.1,"Front",543471,17,0.4,276.562841530055
"64",54.5,20,2.8,0.6,2,10.4,0.8,1,342,0,1,"Front",543471,5,0.8,446.708333333333
"65",42.5,38,2.3,0.4,2.6,9.5,0.8,0.8,11,0,0.8,"Front",1551659,12,0.4,1666.81693989071
"66",75,21,2.3,0.1,1.2,5,0.2,1,290,0.1,0.9,"Front",1191480,16,0.2,161.915300546448
"67",5,31,18.1,9.2,5,31.5,3.8,6.1,351,2,4.1,"Back",22868827,61,2.4,3176.50546448087
"68",86.5,21,2.7,0.2,2.2,8.2,0.8,0.9,474,0,0.9,"Front",874636,13,0.5,144.653005464481
"70",26.5,22,12.6,1,8.1,23.9,1.4,5.6,71,0,5.6,"Front",1296240,65,1.3,306.445355191257
"71",39.5,24,10.3,1.6,6.5,27.8,2.1,4.1,482,0,4.1,"Front",5318313,62,1,448.054644808743
"72",42.8,28,1.7,0.4,2.5,8.6,0.2,0.7,6,0,0.7,"Front",7643979,62,0.3,325.887978142077
"73",36,30,4.5,1.2,2,15.6,0.6,1.8,56,0.3,1.5,"Front",7612172,82,0.7,377.355191256831
"74",28.2,25,9.3,3.3,2.9,25,1.2,3.7,241,0.6,3.1,"Back",7315000,80,1.4,951.699453551913
"75",19.8,31,10.8,2.3,3.4,31.9,1.1,4.2,258,1.4,2.8,"Back",11242000,77,0.9,674.595628415301
"76",54,24,4.8,0.6,4.7,15.8,0.9,1.9,133,0,1.9,"Front",874636,66,0.5,14.6923076923077
"77",18,20,15.6,4.8,3.5,28.7,2.3,5.6,389,2.1,3.4,"Back",5332800,63,2.8,2103.52732240437
"80",6.5,26,27,5.9,4.9,35.9,6.5,8.8,266,2.9,6,"Back",24328425,75,2.6,2532.12021857923
"81",76,30,1.8,0.4,0.6,7,0,0.7,387,0.4,0.2,"Front",980431,45,0.2,2.83428571428571
"82",78,23,1.3,0.2,1.2,3.9,0,0.6,337,0,0.6,"Front",543471,19,0.2,129.169741697417
"83",23.8,28,18.2,2.1,5.2,33.9,5.5,5.3,142,2,3.3,"Front",15050000,63,1.3,425.852459016393
"84",29,29,7.3,1.8,3.3,26.6,0.4,2.6,163,1.7,0.9,"Back",10000000,68,1.1,6.91780821917808
"85",69,29,6.6,0.6,4.2,25,0.2,2.6,96,1.1,1.6,"Front",3000000,66,0.4,133.346994535519
"86",36.5,21,6.2,1.7,2,18.6,0.9,2.3,128,0.7,1.7,"Back",3940320,66,1.2,569.789617486339
"87",73.5,23,0,0,1,1,0,0,204,0,0,"Front",543471,1,0,74.25
"88",39.5,22,12.8,2.2,6.3,26.3,2.1,4.7,392,1.3,3.4,"Front",2318280,81,2.3,19.6830601092896
"89",65.5,28,6.4,1,2.7,15.6,0.5,2.3,20,1.3,1,"Front",8070175,41,0.9,115.748633879781
"90",47,29,13.2,4.6,2.2,30.3,2.2,5,85,1.1,3.9,"Back",5229454,68,1.7,365.631147540984
"91",61.2,23,3.3,0.8,0.8,9.8,0.5,1.2,197,0.3,0.9,"Back",874636,39,0.7,129.647540983607
"92",38.5,33,7.3,1.6,5.6,18.7,1,3.1,259,0,3.1,"Front",1551659,79,1,50.9836065573771
"93",38,36,4.6,2.2,3,12.6,0.6,2,457,0,1.9,"Front",1551659,68,1.1,25.155737704918
"94",39.5,24,4.5,0.7,1.5,12.1,0.4,1.5,44,1,0.5,"Front",543471,67,0.5,19.0983606557377
"96",9.2,28,12.7,1.2,13.8,31.7,2.5,5.1,240,0,5.1,"Front",21165675,81,1.4,1922.74590163934
"97",22.8,28,2.5,0.9,1.7,12.5,0.4,0.9,265,0.3,0.6,"Back",1015695,62,0.7,405.344262295082
"98",40,20,3.4,1.3,1.1,8.5,0.6,1.3,317,0.2,1.1,"Back",1180080,38,1,478.003937007874
"99",55.2,24,5.6,2.1,1.8,16.5,1.6,1.8,477,0.4,1.4,"Back",1577280,27,0.9,261.707650273224
"100",2.8,27,27.3,3.9,5.2,35.4,7.4,9.7,108,0.4,9.3,"Back",26540100,74,2.4,2689.17213114754
"101",5,26,27,4.6,11,34.2,7.2,9,90,1.8,7.2,"Front",15756438,72,3.7,2257.64754098361
"102",31,30,8.9,1,3.8,26.1,1.2,3.1,72,1.5,1.5,"Front",14200000,72,0.8,642.70218579235
"103",49.8,22,2,0.6,0.8,3.4,0.6,0.6,217,0.2,0.4,"Back",1450000,5,0,205.060109289617
"104",18.5,23,17.9,6.3,3.1,31.5,2.8,6.9,394,1.3,5.7,"Back",2708582,79,3.3,3.41551246537396
"105",37.8,23,5.1,1.1,2.6,17.1,0.2,1.8,441,1.3,0.5,"Back",2092200,57,0.9,829.128415300546
"106",38,32,11,5.6,2.3,25.9,1.4,4.1,465,1.3,2.8,"Back",14885520,64,2.2,1007.56010928962
"107",35,25,9.5,1.1,6.1,23.7,1.3,4.1,131,0.1,4,"Front",11050000,50,1.2,330.161202185792
"109",7.2,28,18,4.4,3.8,32.5,3.5,7.2,383,0.2,7,"Back",21323252,64,2.3,4586.61475409836
"110",80.5,25,6.1,0.6,2.6,16.1,1.2,2.2,466,0.6,1.6,"Front",5020145,50,0.6,9.71311475409836
"111",14.5,20,22.1,3.4,3.2,35,4.7,7.8,53,1.9,5.9,"Back",2223600,78,3.1,1871.0956284153
"112",57.5,33,6.7,2.1,2,16.7,1.6,2.1,176,0.9,1.2,"Back",4227996,65,0.9,313.945355191257
"113",41.5,27,5.1,0.6,6.5,17.5,0.9,2.1,103,0,2.1,"Front",2898000,76,0.8,271.510928961749
"114",78.5,20,1.6,0.1,1.7,6.6,0.3,0.7,101,0,0.7,"Front",1369229,36,0.2,257.70218579235
"115",80.5,19,1.4,0,0.9,3.4,0.6,0.4,415,0,0.4,"Front",543471,7,0.3,312.77868852459
"116",41.2,25,15.8,4.3,3.3,30.1,1.8,6.1,450,1.8,4.3,"Back",2898000,46,2.2,964.653005464481
"117",17.2,38,14.2,1.5,6.5,26.4,1.8,5.5,332,1.5,4,"Front",25000000,54,0.9,3561.29234972678
"118",29.8,20,5.9,1,3.6,20.1,0.5,2.4,390,0.6,1.7,"Front",2440200,81,1,1338.71584699454
"119",74.5,26,4.4,0.9,3,14.1,0.7,1.7,313,0.3,1.4,"Front",607491,34,0.9,8.17486338797814
"120",73.5,23,4.3,0.8,2.7,20.3,0.6,1.5,136,0.7,0.8,"Front",543471,81,0.6,165.491428571429
"121",53.5,25,9,0.9,2.7,22.8,1.1,3.4,292,1.2,2.2,"Front",2483040,66,0.6,685.855191256831
"122",67.5,19,3.4,0.5,2.4,13.3,0.1,1.3,41,0.7,0.7,"Front",4276320,43,0.7,823.571038251366
"123",6.2,26,10.2,7,7.9,32.5,2,3.6,164,1.1,2.5,"Front",15330435,76,2.4,5100.28415300546
"124",14.2,31,13.5,1.4,12.7,29.7,3.1,5.2,205,0,5.2,"Front",23500000,74,2.3,3615.49180327869
"125",71,25,6.7,0.6,4,17.3,1.4,2.5,364,0.3,2.2,"Front",8375000,77,0.4,310.453551912568
"126",4,35,18.3,3.8,4.5,29.9,3.7,6.9,449,0.8,6.2,"Back",23200000,60,2.3,7361.59836065574
"127",63,27,9.6,2.2,2.1,24.9,0.8,3.9,309,1.1,2.8,"Back",8801363,73,0.8,240.030054644809
"128",60.5,27,4.3,0.6,5.3,17.2,1.1,1.6,102,0,1.6,"Front",6666667,46,0.8,5.7707182320442
"129",37.2,22,12.8,6.5,4.7,29.4,1.8,5.2,354,0.5,4.8,"Back",2613600,82,2.2,5.34520547945205
"130",27.2,20,11,3.9,3.2,25.6,2.4,3.8,315,1,2.8,"Back",3241800,55,2.2,651.289617486339
"131",19.8,24,14.3,0.9,6.7,21.3,3.1,5.6,243,0.1,5.5,"Front",17145838,72,1.7,1333.06284153005
"132",21,27,21.1,6.3,4.8,33,5.9,6.8,49,1.6,5.2,"Back",14000000,66,3.4,486.188524590164
"133",8.8,28,16.2,2.5,2.7,31,2,5.5,158,3.3,2.2,"Back",12385665,75,1.6,565.510928961749
"134",19,29,13.1,1.7,5.9,26.1,2,4.7,212,1.7,3,"Front",8400000,82,1.4,26.5109289617486
"135",28,24,17.2,3,3.1,32.9,3.3,6,138,1.9,4.1,"Back",17000000,68,2.1,343.20218579235
"136",44,28,9,3.2,3.8,25.5,1.3,3.6,435,0.5,3.1,"Back",16393443,65,1.5,783.243169398907
"137",44.5,23,11.7,2.2,4.5,26.1,1.6,4.3,242,1.5,2.7,"Front",2730000,75,1,749.483606557377
"138",55.8,22,2.9,0.9,1.1,7.9,0.5,1.1,442,0.3,0.8,"Back",543471,37,0.4,271.991803278689
"139",49,30,7.8,2.6,2.8,26.6,0.9,2.8,422,1.3,1.6,"Back",8000000,65,1.2,141.229508196721
"140",36,22,14.9,2.9,3.1,31.3,1.8,5.6,177,1.9,3.7,"Back",1655880,57,1.3,218.928961748634
"141",19.2,30,16.9,4.2,3.4,31.5,3.2,5.9,194,1.9,4,"Back",8000000,49,1.7,17.3661202185792
"142",87.5,23,0.9,0.2,0.7,4,0.1,0.4,326,0,0.3,"Front",650000,23,0.2,406.937158469945
"143",38,19,5.6,0.9,3.9,16.1,0.5,2.5,345,0,2.5,"Front",2202240,22,1.1,316.879781420765
"144",31.2,31,5.6,0.7,1.8,11.4,0.7,2,165,0.8,1.2,"Back",1410598,47,0.5,814.734972677596
"145",38.2,29,9.2,1.6,2.6,23.2,1.8,3.3,186,0.8,2.4,"Back",9000000,72,0.9,147.806010928962
"146",2,22,22.9,5.4,8.8,35.6,5.9,8.2,16,0.6,7.6,"Front",2995420,80,2.9,2299.44808743169
"147",43.5,23,6.1,0.7,3.6,20.7,0.8,2.3,379,0.7,1.6,"Back",1050500,69,0.5,473.049180327869
"148",14.2,30,20.3,5.8,3.8,33.7,4.1,7.3,114,1.6,5.7,"Back",15891725,73,2.9,22.5109289617486
"149",13,26,21.9,3.5,5.4,34.5,5,7.5,185,2,5.4,"Front",16073140,73,1.9,991.01912568306
"150",53,27,10,1.9,7.9,32.4,1.7,4,111,0.2,3.9,"Front",2348782,82,1.3,295.650273224044
"151",27.8,26,11.7,2.3,6.6,22.5,2.2,4.8,308,0,4.8,"Front",17145838,81,1.7,316.754098360656
"152",21,24,19.2,1.5,5,35.5,3.1,7.6,28,1,6.6,"Front",22116750,79,1.3,1862.34426229508
"153",11,27,17,0.7,14.1,32.6,2.9,7,461,0,7,"Front",22116750,77,2,2272.86885245902
"154",77.5,20,3.2,0.4,2.2,7.7,0.2,1.2,121,0.5,0.7,"Front",1704120,19,0.7,243.46174863388
"155",20.5,25,6.8,1.2,1.6,14.8,0.6,2.7,82,0.8,1.9,"Back",1015696,77,0.7,12.4699453551913
"156",79.5,30,5.6,0.6,4.8,17.9,1.4,2.1,280,0,2.1,"Front",16000000,31,1.1,235.920765027322
"157",18.8,26,7.5,1.4,2.9,25.5,0.9,2.6,401,1.2,1.4,"Back",9662922,76,1,2019.27049180328
"158",42.5,25,4.6,0.9,1.3,15.2,0.8,1.6,70,0.6,1,"Back",1015696,39,0.5,267.5
"160",47.2,21,7.4,2.6,2.5,22.5,1.2,2.8,460,0.6,2.2,"Back",1074145,73,1.9,243.950819672131
"162",63.5,19,7.5,0.8,4.2,16,0.8,3.3,486,0,3.3,"Front",1034865,38,0.8,430.092896174863
"166",10.5,21,20.1,2.8,6.2,33.9,3.2,7.8,346,1.3,6.5,"Front",5374320,51,1.8,965.609289617486
"167",36.5,26,13.9,2.2,5.8,32.4,2.4,4.6,95,2.2,2.4,"Front",6286408,72,1.1,595.191256830601
"168",33,21,11.8,1.2,4.8,22.7,2.1,4.8,338,0,4.8,"Front",4788840,50,1.8,1339.56830601093
"169",77.5,22,2.2,0.3,0.7,7.1,0.4,0.7,257,0.4,0.4,"Front",600000,35,0.3,209.603825136612
"171",16.5,36,12.3,2.6,1.6,26.3,2.1,4.4,93,1.4,3,"Back",13253012,82,1.6,1557.33333333333
"172",34.5,19,9.9,2.1,2.6,21.5,1.3,3.6,318,1.4,2.2,"Back",3210840,82,1.4,676.409836065574
"173",60,34,9.2,5.1,2.6,27.3,0.6,3.6,324,1.4,2.2,"Back",4540525,75,1.7,435.081967213115
"174",60,26,6.7,1,4,23.5,1.3,2.3,125,0.8,1.5,"Front",2898000,64,0.9,5.24930747922438
"175",2,27,29.1,11.2,8.1,36.4,9.2,8.3,172,3.2,5.1,"Back",26540100,81,5.7,3655.37978142077
"178",47,24,2.8,0.3,1.8,8.8,0.4,1.2,286,0,1.2,"Front",980431,52,0.4,783.25956284153
"179",53.8,21,2.3,0.1,0.9,7.6,0.2,0.9,478,0.4,0.4,"Back",1825200,29,0.1,13.5792349726776
"180",54,26,8.9,1.1,7.1,27.3,1.7,3.2,166,0.7,2.5,"Front",980431,77,1.2,153.174863387978
"181",68.5,31,6.8,1.9,3.5,21.3,0.7,2.5,116,1.2,1.3,"Front",10470000,64,1.1,272.950819672131
"182",69,24,3.4,0.3,2.5,10.7,0.4,1.4,417,0.3,1.1,"Front",5628000,11,0.4,543.502732240437
"183",76.5,22,3.9,0.2,3.9,13.3,1,1.4,283,0.2,1.2,"Front",1286160,42,0.7,91.7431693989071
"185",31,39,4.1,1.3,1.4,18.4,0.3,1.4,423,1,0.4,"Back",1551659,74,0.5,833.355191256831
"186",16.2,29,6.1,0.2,3.2,9.6,0.7,2.7,293,0,2.7,"Front",1403611,77,0.5,1380.22677595628
"187",36.5,20,6.6,0.8,2.8,17.2,1.1,2.5,61,0.6,1.9,"Front",4743000,78,0.9,843.614754098361
"188",61.5,30,9.2,1.2,3.1,22.2,2.1,3.2,167,0.8,2.4,"Front",15000000,69,1.1,19.9016393442623
"189",18.8,28,15.3,7.8,4,32.4,4.4,4.9,420,1.1,3.8,"Back",8000000,82,2.6,18.7322404371585
"190",84.5,26,2.9,0.1,2.4,8.5,0.7,1.1,473,0,1.1,"Front",1015696,51,0.3,162.472677595628
"191",35.2,22,5.5,0.6,2.6,19.1,1.1,1.9,161,0.5,1.4,"Front",980431,80,0.6,472.193989071038
"192",47.2,24,9.7,1.2,4.3,18.4,1.8,3.6,252,0.7,3,"Back",7000000,62,0.6,290.360655737705
"193",14,28,14.5,5.1,3.8,24.5,3.2,4.9,267,1.6,3.3,"Back",11483254,36,2.4,3838.29508196721
"194",43,24,5.9,1.9,1.8,16.3,1,2,162,0.8,1.3,"Back",1643040,63,0.7,679.94262295082
"195",36.5,28,11,4.3,4,23.7,3,3.7,33,0.7,3,"Back",9424084,3,3,279.054644808743
"196",4,27,23.9,5.5,6.2,37,7.7,7.5,66,1.2,6.3,"Front",17552209,76,2.1,59.2896174863388
"197",21.8,31,5,2.2,8.8,22.1,0.7,2.2,328,0,2.2,"Front",17000000,46,1.3,1996.41256830601
